Description,UPC,Promo_Price,Retail_Price,List_Price,Manufacturer,Category,Count,Multiplier,Retailer
SHEAMSTR CNT/H SMT  3.2OZ,76430229075,,5.49,2.42,UNILEVER,HAIR CARE - SHAMPOO/CONDITIONER,3.2,17.568,PNS
VLG NAT TH FM BTH SK 36OZ CMF,73530350509,,6.49,3.63,VILLAGE CO,BATH PRODUCTS,36,233.64,PNS
NEUT MIN DRY TCH LT 3OZ SPF30,8680019370,,18.99,12.33,KENVUE,SUN CARE,3,56.97,PNS
PALMER COC LOT 13.5OZ PMP,1018104165,,7.99,5.01,E.T. BROWNE,SKIN CARE - HAND & BODY,13.5,107.865,PNS
EZY DOSE PILL CUTTER PKT CL,2571567755,,3.99,2.25,APOTH PROD,HOME HEALTH CARE,1,3.99,PNS
NM W/B FALL ASLEEP FST GMY 40,3160404378,,21.99,11.99,PHARMAVITE,SLEEPING REMEDIES,40,879.6,PNS
ORAJEL M/SORE RINSE 16OZ A/F,31031000003,14.92,16.03,5.97,CHURCH/DWIGH,ORAL CARE - ORAL HYGIENE,16,256.48,PNS
CONTOUR TEST STRP 100,30193709021,,126.49,110,ASCENSIA,DIABETIC PRODUCTS,100,12649,PNS
NICORETTE 4MG CT/LOZ 20 MNT,30766981237,,17.99,10.95,HALEON,ANTI-SMOKING PRODUCTS,20,359.8,PNS
ZONEPRF KETO RTD 325MLX4 WC/C,63810267261,,11.99,7.69,ABBOTT NUTR,WT CTL/NUTRITION - LIQ/POWDER,325,3896.75,PNS
L'OR ROOT CVR-UP RED,7124931858,,10.99,7.44,LOREAL,HAIR CARE - COLORING,1,10.99,PNS
NW ST JOHN WORT VCP 90,3367463000,,20.99,11.56,SCHWABE NA,"VITAMINS, MINERALS & SUPPLEMENTS",90,1889.1,PNS
REV CLRSLK 60 DK ASH BLND,30997018488,,3.99,3.47,REVLON,HAIR CARE - COLORING,1,3.99,PNS
VITAFUSION MELATN/FREE GMY 40,2791700216,11.24,14.99,8.14,CHURCH/DWIGH,SLEEPING REMEDIES,40,599.6,PNS
POLIDENT SMOKERS TAB 120,31015832085,,6.99,6.46,HALEON,ORAL CARE - DENTURE PRODUCTS,120,838.8,PNS
LOTRIMIN AF ATHL FT CRM .53OZ,4110059462,,14.49,9.35,BAYER INC,FOOT CARE PRODUCTS,0.53,7.6797,PNS
AQUA VELVA A/S  7OZ I/BLU,1150921161,,12.22,3.99,COMBE,SHAVE - CREAMS,7,85.54,PNS
CRANE ADRBL HUMDFR .5GAL FOX,81876701117,,49.99,27.95,CRANE USA,HOME HEALTH CARE,0.5,24.995,PNS
NM VIT D  5000IU SG 180,3160402778,,29.99,17.68,PHARMAVITE,VITAMINS,180,5398.2,PNS
GRANDPA SP 4.25OZ OATML,1048600807,,4.59,2.4,GRANDPA SOAP,SOAP,4.25,19.5075,PNS
MASON ULT COLLAGEN CP 100,31184514911,,21.99,13.4,MASON VIT,"VITAMINS, MINERALS & SUPPLEMENTS",100,2199,PNS
COMFEES DIAPER SZ1 50,8667941537,,18.13,6.63,ATTINDAS HYG,BABY DIAPERS,50,906.5,PNS
CREST P/H T/P GL 4.3OZ W,3077205728,3.99,4.19,3.64,PROCTER&GMBL,ORAL CARE - TOOTHPASTE,4.3,18.017,PNS
SUMMR EVE FRSHN SPR 2OZ ISL/S,4160800132,3.79,4.59,2.59,MEDTECH PROD,FEMININE NEEDS - WOMEN'S CARE,2,9.18,PNS
CERAVE MSTRZNG LOT  8OZ,3.606E+11,19.53,22.45,8.98,LOREAL,,,,PNS
PALMER CNT WTR FC MST 1.7OZ,1018103245,13.68,14.7,6.01,E.T. BROWNE,SKIN CARE - FACIAL,1.7,24.99,PNS
OLLY ACT IMM+ELD GMY 45 B,85000446214,,15.99,8.67,OLLY PBC,"VITAMINS, MINERALS & SUPPLEMENTS",45,719.55,PNS
CETAPHIL GNT SKIN CLNSR 16OZ,30299011022,,14.99,11.05,GALDERMA LAB,SKIN CARE - FACIAL,16,239.84,PNS
DYNARX ADH TPE RMVR PD 100,61678415052,,11.81,3.1,DYNAREX,FIRST AID - ACCESSORIES,100,1181,PNS
DURACELL RCH AAA NL BAT  4,4133366160,,14.49,9.62,DURACELL DST,ZZZBATTERIES,4,57.96,PNS
BOIR-BT HYPERICUM 30C MDT,30696037613,,7.19,4.45,BOIRON,PAIN - ANALGESIC (INTERNAL),38,273.22,PNS
DIAL CMP LQ H/SP 11OZ POM/T,1700020942,,3.29,1.8,HENKEL CORP,SOAP,11,36.19,PNS
ZONEPRF BAR  5 S/CARM,63810263510,,6.79,4.1,ABBOTT NUTR,WT CTL/NUTRITION - CANDY TABLETS,5,33.95,PNS
O SPICE FR B/W 18OZ D/C,3077201165,2.25,7.49,5.34,PROCTER&GMBL,SOAP,18,134.82,PNS
PATADAY 1D AG DR XS 2.5ML 2ND,30065081605,22.49,24.99,15.55,ALCON,EYE CARE PRODUCTS,2.5,62.475,PNS
DIAL CMP B/WSH 16OZ A/B,1700032642,3.99,4.99,4.49,HENKEL CORP,SOAP,16,79.84,PNS
PNTN CURL PF COND 25.1OZ   PM,8087819677,,8.49,6.5,PROCTER&GMBL,HAIR CARE - SHAMPOO/CONDITIONER,25.1,213.099,PNS
SOFTSP AB LQ SP 11.25OZ PR  P,3500098540,,2.99,2.49,COLGATE-PALM,SOAP,11.25,33.6375,PNS
AURA CACIA SKN OIL 4OZ JOJB,5138191172,,15.69,9.35,FRONTIERCOOP,BATH PRODUCTS,4,62.76,PNS
NICE/ESY HC  2 BLK,7001811679,,8.99,6.15,COTY,HAIR CARE - COLORING,1,8.99,PNS
COLGATE 360 AD OW T/B CM 1,3500045460,4.99,5.99,4.71,COLGATE-PALM,ORAL CARE - DENTAL ACCESSORIES,1,5.99,PNS
DOVE NR/SC THICK SHAM 12OZ,7940045152,,4.49,3.32,UNILEVER,HAIR CARE - SHAMPOO/CONDITIONER,12,53.88,PNS
CLEAN & CLR ADV SPT TRT .75OZ,38137003991,,7.69,6.99,KENVUE,SKIN CARE - ACNE,0.75,5.7675,PNS
NASONEX ADL ALRG 24H SP  60,37003016576,,17.99,11.96,PERRIGO CO,UPPER RESPIRATORY - COLD/ALLERGY/SINUS LIQUIDS,60,1079.4,PNS
B/BEES LP BLM .15OZ CP B,79285002530,,3.99,2.17,BURT'S BEES,LIP PREPARATIONS,0.15,0.5985,PNS
AP/NUT GRN/T T/FAT BURN SG 30,71036356845,15.4,16.55,6.59,IRWIN NATURL,WT CTL/NUTRITION - CANDY TABLETS,30,496.5,PNS
LACTAID FAST ACT C/TAB 32,30045093032,11.49,12.49,9,KENVUE,DIGESTIVE - UPPER GI,32,399.68,PNS
PLAYTEX SPRT TAMP ULT 36,7830012878,,8.99,8.35,EDGEWELL PC,FEMININE NEEDS - SANITARY NAPKINS/TAMPONS,36,323.64,PNS
WATERPIK FLOSR CRDLS    WP360,7395025860,,44.97,29.24,WATERPIK,ORAL CARE - DENTAL ACCESSORIES,1,44.97,PNS
MASON BLOOD SUGAR TRIO TB 60,31184516375,17.82,19.15,9.75,MASON VIT,"VITAMINS, MINERALS & SUPPLEMENTS",60,1149,PNS
DOVE ADV D/SHAM 5OZ DTX&PUR,7940056128,7.49,7.99,5.73,UNILEVER,HAIR CARE - SHAMPOO/CONDITIONER,5,39.95,PNS
L'OR EXCEL CR  5AR MD/MPL/BRW,7124912144,,12.99,8.44,LOREAL,HAIR CARE - COLORING,1,12.99,PNS
NM TURMERIC 500MG CP  60,3160402754,,14.99,8.36,PHARMAVITE,"VITAMINS, MINERALS & SUPPLEMENTS",60,899.4,PNS
L'OR MENS CHARCL CRM CLNS 5OZ,7124926390,13.13,15.09,4.64,LOREAL,SKIN CARE - FACIAL,5,75.45,PNS
LUDEN TH/DRP BAG 90 W/CHR,81483201062,,4.79,3.28,MEDTECH PROD,UPPER RESPIRATORY - COUGH DROPS/LOZENGES,90,431.1,PNS
COLGATE X/CLEAN T/B FS 1 42M,3500055676,,1.19,0.56,COLGATE-PALM,ORAL CARE - DENTAL ACCESSORIES,1,1.19,PNS
DEGREE D/S 3.8OZ SXY IN,7940034364,3.89,6.49,5.08,UNILEVER,DEODORANTS,3.8,24.662,PNS
HEAD/SHLDR 2N1 20.7OZ C/CLN,3077206357,7.01,10.79,7.57,PROCTER&GMBL,HAIR CARE - SHAMPOO/CONDITIONER,20.7,223.353,PNS
U KOTEX BAL PAD UT REG  36 W,3600054911,7.99,8.49,7.47,KIMBERLY-CLK,FEMININE NEEDS - SANITARY NAPKINS/TAMPONS,36,305.64,PNS
N/B VT E  400IU SGL 120 P/F,7431201751,,16.99,9.79,BOUNTIFUL CO,VITAMINS,120,2038.8,PNS
ROLAIDS XTRA TAB  10X3 RL MNT,72011200451,,2.99,1.36,PROCTER&GMBL,DIGESTIVE - UPPER GI,10,29.9,PNS
GOODNTE YOUTH PANT BOY L 11,3600053362,,21.05,11.25,KIMBERLY-CLK,HOME HEALTH CARE,11,231.55,PNS
ACT RESTORNG M/W 18OZ MNT/B,4116709780,,5.29,3.84,SANOFI,ORAL CARE - MOUTHWASH,18,95.22,PNS
ORAL-B GLD PH FLS 54.6YD OG,3700046953,,4.99,2.72,PROCTER&GMBL,ORAL CARE - DENTAL ACCESSORIES,54.7,272.953,PNS
ALMY EYE M/U RMV TW LNGWR 80,30997011553,12.4,14.26,4.34,REVLON,COSMETICS-EYE,80,1140.8,PNS
U KOTEX TEEN PAD U/T XA 14 W,3600051752,4.99,5.49,3.81,KIMBERLY-CLK,FEMININE NEEDS - SANITARY NAPKINS/TAMPONS,14,76.86,PNS
SHEAMSTR ABS F/SRM 1OZ,76430201517,14.06,15.1,7.81,UNILEVER,SKIN CARE - ACNE,1,15.1,PNS
NM STRESS B W/ZINC TB 75,3160402725,,13.99,8,PHARMAVITE,VITAMINS,75,1049.25,PNS
NATRL INST HC 5A MD CL BRW,3.61423E+11,,9.99,5.4,COTY,,,,PNS
MUCINEX D EXPCT TAB 18 PSE,36382405718,,16.99,12.7,RECKITT,UPPER RESPIRATORY - COLD/ALLERGY/SINUS TABLETS,18,305.82,PNS
B/BEES FCL CLNS TWLT 30 SEN,79285001677,,6.99,3.3,BURT'S BEES,SKIN CARE - FACIAL,30,209.7,PNS
MUCINEX CHLD CLD 4OZX2 DN,36382490994,,21.99,15.21,RECKITT,UPPER RESPIRATORY - COLD/ALLERGY/SINUS LIQUIDS,8,175.92,PNS
ALWAYS DLY LN XP XL 68,3700017110,,6.99,5.94,PROCTER&GMBL,FEMININE NEEDS - SANITARY NAPKINS/TAMPONS,68,475.32,PNS
NICE/ESY HC  6A LT ASH BRN,7001811662,5.09,8.49,6.15,COTY,HAIR CARE - COLORING,1,8.49,PNS
TYLNL EX/S R/R G/CP 225,30045048830,,26.99,20.07,KENVUE,PAIN - ANALGESIC (INTERNAL),225,6072.75,PNS
GOLD BOND N/MS PWD/SPR 7OZ FR,4116701314,,8.99,5.36,SANOFI,SKIN CARE - HAND & BODY,7,62.93,PNS
BREATHE RIGHT STRP 30 TAN S/M,81007180006,18.49,19.87,8.81,FOUNDTN CONS,UPPER RESPIRATORY - NASAL PRODUCTS,30,596.1,PNS
SENI BRIEF SUPER RG 25,87735300015,,30.48,15.3,TZMO USA,ADULT INCONTINENCE,25,762,PNS
HERBAL/ES SHM 29.2OZ HL/HYD,19067900481,5.27,8.79,6.67,PROCTER&GMBL,HAIR CARE - SHAMPOO/CONDITIONER,29.2,256.668,PNS
GARNIER NUT HC UL PL1 LTST PL,60308449368,,9.49,6.61,GARNIER LLC,HAIR CARE - COLORING,1,9.49,PNS
SMARTYPNT WMN GMY 120,85135600480,,21.99,13.2,SMARTYPANTS,VITAMINS,120,2638.8,PNS
GILLT SNSR2 D/RZR 12 FX PC,4740066449,,10.99,8.27,PROCTER&GMBL,SHAVE - RAZORS,12,131.88,PNS
TYLNL SINUS+HDACHE CP 24 DY,30045027525,8.99,9.49,6.2,KENVUE,UPPER RESPIRATORY - COLD/ALLERGY/SINUS TABLETS,24,227.76,PNS
HEAD/SHLDR 2N1 28.2OZ C/CLN,3077206404,,25.55,9.54,PROCTER&GMBL,HAIR CARE - SHAMPOO/CONDITIONER,28.2,720.51,PNS
BD ULT/F 1CC 30GX12.7MM 100,38290841103,,36.49,30.63,BECTONDICKIN,DIABETIC PRODUCTS,100,3649,PNS
PH-D FEM BORC AC VG SUPP 24,34959700044,23.54,25.3,12.45,VIREO,FEMININE NEEDS - WOMEN'S CARE,24,607.2,PNS
GARNIER FRU HT MASK  3.4OZ AV,60308454471,,3.99,3.24,GARNIER LLC,HAIR CARE - SHAMPOO/CONDITIONER,3.4,13.566,PNS
VICKS VAPOSHOWER TAB 3,32390004052,,7.99,4.47,PROCTER&GMBL,UPPER RESPIRATORY - EXTERNAL,3,23.97,PNS
CREST CV/PR T/P 8.2OZ RG,3700000310,,8.08,2.29,PROCTER&GMBL,ORAL CARE - TOOTHPASTE,8.2,66.256,PNS
OLAY TTL/EF AA MST 1.7OZ FF,7560900177,29.29,33.68,17.48,PROCTER&GMBL,SKIN CARE - FACIAL,1.7,57.256,PNS
YES TO GRPFT PPR MSK .67OZ,81592102025,,3.99,1.96,YES TO INC,SKIN CARE - ACNE,0.67,2.6733,PNS
PAMPERS WIPE  336 SEN POP,3700075139,,12.99,12.88,PROCTER&GMBL,BABY DIAPERS,336,4364.64,PNS
GUM GO BTW PRXBR CLNR 10 TG,7094200244,,4.99,2.7,SUNSTAR,ORAL CARE - DENTAL ACCESSORIES,10,49.9,PNS
AUSSIE MRCL CURL MSE 6OZ,38151918689,,5.49,3.6,PROCTER&GMBL,HAIR CARE - STYLING,6,32.94,PNS
ZARBEE CHL CG/MC SY 4OZ BR NT,30045066404,,10.49,6.93,ZARBEES INC,UPPER RESPIRATORY - COLD/ALLERGY/SINUS LIQUIDS,4,41.96,PNS
DOVE D/S 3.8OZ C/ES,7940034218,,9.49,6.7,UNILEVER,DEODORANTS,3.8,36.062,PNS
PNTN NT/BLND RWTR SHAM  3OZ,8087819110,,3.49,1.83,PROCTER&GMBL,HAIR CARE - SHAMPOO/CONDITIONER,3,10.47,PNS
HERBAL/ES B/R CND 13.5OZ EUC,19067900453,10.49,10.99,7.39,PROCTER&GMBL,HAIR CARE - SHAMPOO/CONDITIONER,13.5,148.365,PNS
TYLNL CHLD PN+FV 4OZ BG,30045040704,,8.49,6.83,KENVUE,PAIN - ANALGESIC (INTERNAL),4,33.96,PNS
OLAY SRM VIT C BRT 1.3OZ,7560920055,33.49,33.99,19.59,PROCTER&GMBL,SKIN CARE - FACIAL,1.3,44.187,PNS
DURACELL CTP AAA AL BAT  8,4133384401,,10.99,7.42,DURACELL DST,ZZZBATTERIES,8,87.92,PNS
N/B BIOTN 10000MCG SGL 120,7431251697,,19.99,11.28,BOUNTIFUL CO,"VITAMINS, MINERALS & SUPPLEMENTS",60,1199.4,PNS
VAGISIL WSH 12OZ PH BALANCE,1150906027,13.24,14.22,4.37,COMBE,FEMININE NEEDS - WOMEN'S CARE,12,170.64,PNS
NEXIUM 24HR CAP 42,30573245042,39.71,45.66,25.27,HALEON,DIGESTIVE - UPPER GI,42,1917.72,PNS
HAW/TRP GRAD TN LOT 12.6OZ,7548611790,,13.99,10.21,EDGEWELL PC,SUN CARE,12.6,176.274,PNS
NM VIT D   50MCG TB 220,3160402674,,17.99,11.18,PHARMAVITE,VITAMINS,220,3957.8,PNS
T.N. DICKINSON WH AST 16OZ,5265100006,,4.99,3.16,DICKINSON BR,FIRST AID - TREATMENTS,16,79.84,PNS
EMERGEN-C SF PWD 18PK RSP/LMN,7631461041,,16.29,9.5,HALEON,VITAMINS,18,293.22,PNS
NAIR FACE CRM 2OZ,2260021031,,5.49,3.6,CHURCH/DWIGH,SHAVE - CREAMS,2,10.98,PNS
SUAVE SHAM 12.6OZ RS/O,7940045030,,3.79,2.59,SUAVE,HAIR CARE - SHAMPOO/CONDITIONER,15,56.85,PNS
FUNGI-NAIL OINT .7OZ,5307618550,,13.99,7.2,ARCADIA CONS,FOOT CARE PRODUCTS,0.7,9.793,PNS
MUCINEX DM EXPCT MS TAB 14,36382407214,,17.99,13.3,RECKITT,UPPER RESPIRATORY - COLD/ALLERGY/SINUS TABLETS,14,251.86,PNS
TENA WMN PRO U/WR LG 16,76870254900,30.16,34.68,14.55,ESSITY,ADULT INCONTINENCE,16,554.88,PNS
RUGBY CEROVITE JR C/TB 60,536344308,9.61,11.05,3.67,RUGBY,"VITAMINS, MINERALS & SUPPLEMENTS",60,663,PNS
BIOGAIA PRODENTS LOZ 30 APPLE,60235946048,24.72,26.57,17.5,BIOGAIA USA,ORAL CARE - ORAL HYGIENE,30,797.1,PNS
THREE FLOWERS LIQ 4OZ,7006611604,,4.99,2.68,AII,HAIR CARE - STYLING,4,19.96,PNS
DOVE M+CR STN I/S 2.7OZ CL,7940044821,,8.49,6.12,UNILEVER,DEODORANTS,2.7,22.923,PNS
HEAD/SHLDR MN 2N1 20.7OZ OSP,3077206373,7.55,10.79,7.44,PROCTER&GMBL,HAIR CARE - SHAMPOO/CONDITIONER,20.7,223.353,PNS
O SPICE WD B/S 5.1OZ BGL,1204405369,4.79,7.99,5.54,PROCTER&GMBL,DEODORANTS,5.1,40.749,PNS
NEUT HY/BST NT PRSS SRM 1.7OZ,7050111355,,19.99,14.48,KENVUE,SKIN CARE - FACIAL,1.7,33.983,PNS
OGX CNT MILK SHAM 13OZ,2279691005,,7.99,5.63,VOGUE INT,HAIR CARE - SHAMPOO/CONDITIONER,13,103.87,PNS
J.R.WAT MSTRZ LOT 18OZ A/GT,81372402251,,9.99,6.3,J.R. WATKINS,SKIN CARE - HAND & BODY,18,179.82,PNS
BAND-AID BDG 20 AST ENCANTO,38137202307,4.09,4.49,2.79,KENVUE,FIRST AID - ACCESSORIES,20,89.8,PNS
BATISTE H/C D/SHM 3.81OZ DRK,5.01072E+11,,10.49,8.69,CHURCH/DWIGH,,,,PNS
HERBAL/ES DTNGL SPR 7OZ NRSH,19067900852,,5.49,3.99,PROCTER&GMBL,HAIR CARE - SHAMPOO/CONDITIONER,7,38.43,PNS
ENSURE ORIG SHK  8OZX6 CH,7007440701,11.29,11.79,8.11,ABBOTT NUTR,WT CTL/NUTRITION - LIQ/POWDER,48,565.92,PNS
21ST/C WELLIFY MN ENRGY TB 65,74098522439,13.53,14.54,6,21ST CENTURY,VITAMINS,65,945.1,PNS
ICY HOT PRO MSSG BALM 1.25OZ,4116707900,,14.99,9.37,SANOFI,PAIN - ANALGESIC (EXTERNAL),1.25,18.7375,PNS
MLLR WRST SUP ADJ OS BK  6290,7467662900,,10.63,4.95,MUELLER SPRT,HOME HEALTH CARE,1,10.63,PNS
ORAL-B P/F STN ERSR SF T/B 1,30041010111,4.99,5.99,3.86,PROCTER&GMBL,ORAL CARE - DENTAL ACCESSORIES,1,5.99,PNS
AQUAPHOR HL OINT  1.75OZ,7214045231,6.99,7.49,4.91,BEIERSDORF,FIRST AID - TREATMENTS,1.75,13.1075,PNS
BENEFIBER FIBER GMY 81 FRUT,88679032654,,23.35,15.08,HALEON,DIGESTIVE - LOWER GI,81,1891.35,PNS
GOLI ASHWAGANDHA GMY 30,62817635788,,10.99,6,GOLI NUTRITN,VITAMINS,30,329.7,PNS
BOOST WOMEN RTD 8OZX 6 CH,4167947731,10.99,11.99,10.45,NESTLE NUTRI,WT CTL/NUTRITION - LIQ/POWDER,48,575.52,PNS
BIOFREEZE PN RLF GEL 3OZ GR,73112400003,16.98,19.52,7.61,RECKITT,PAIN - ANALGESIC (EXTERNAL),3,58.56,PNS
ADVIL PN/R L/GL  20 MINI,30573176920,,4.79,3.65,HALEON,PAIN - ANALGESIC (INTERNAL),20,95.8,PNS
LISTERINE CLNC M/W 1.0L I/MT,31254735278,,12.99,8.1,KENVUE,ORAL CARE - MOUTHWASH,1,12.99,PNS
ARRID XD C/GEL 2.6OZ MRNG/CLN,2260019114,,3.49,2.7,CHURCH/DWIGH,DEODORANTS,2.8,9.772,PNS
U KOTEX SEC PAD U/T HVY 40,3600003050,,6.79,6.05,KIMBERLY-CLK,FEMININE NEEDS - SANITARY NAPKINS/TAMPONS,40,271.6,PNS
NAIR LOT 9OZ ALOE/LANOLIN,2260022329,14.72,16.92,5.02,CHURCH/DWIGH,SHAVE - CREAMS,9,152.28,PNS
PAMPERS EASY UP BOY 4T-5T  56,3700076470,,28.49,27.37,PROCTER&GMBL,BABY DIAPERS,56,1595.44,PNS
21ST/C VT D 125MCG TB 360,74098527403,17.17,18.45,9,21ST CENTURY,VITAMINS,360,6642,PNS
L'OR EXCEL CR  6RB LT/RD/BRW,7124921063,,12.99,8.44,LOREAL,HAIR CARE - COLORING,1,12.99,PNS
BOUDREAUXS BUTT PST  4OZ MX/S,36210332304,15.54,16.7,6,MEDTECH PROD,BABY PRODUCTS,4,66.8,PNS
MIDOL COMPLT M/S G/CAP 24,31284317253,,8.49,5.28,BAYER INC,PAIN - ANALGESIC (INTERNAL),24,203.76,PNS
SECRET DEO AF D/SPR 4.1OZ C/H,3077201784,4.67,7.79,4.98,PROCTER&GMBL,DEODORANTS,4.1,31.939,PNS
SENI BOOSTER PAD 30,87735300064,,19.13,7.8,TZMO USA,ADULT INCONTINENCE,30,573.9,PNS
AFTERBURN GEL  2OZ,4422405120,,16.77,3.6,ADVENTRE RDY,FIRST AID - TREATMENTS,1,16.77,PNS
TENA INTIMT PAD MAX LNG 39,76870254295,,28.87,16.99,ESSITY,ADULT INCONTINENCE,28,808.36,PNS
GILLT SNSR2+ D/RZR 10 PV PC,4740066453,,10.99,8.27,PROCTER&GMBL,SHAVE - RAZORS,10,109.9,PNS
ONE-A-DAY KID COMPL GMY 180 T,1650056862,,15.99,10.49,BAYER INC,VITAMINS,60,959.4,PNS
JOBST STOCKING DONNER LG,3566400403,,51.5,28.7,BSN MEDICAL,HOME HEALTH CARE,1,51.5,PNS
LISTERINE A/S 1.0L F/B,31254742835,,7.49,6.51,KENVUE,ORAL CARE - MOUTHWASH,1,7.49,PNS
PREVAGEN MMRY X/S CAP 30,89404700110,,64.99,36,QUINCY BIO,"VITAMINS, MINERALS & SUPPLEMENTS",30,1949.7,PNS
ALWAYS INF PD S5 ON XHVY W 30,3700081756,,12.49,10.07,PROCTER&GMBL,FEMININE NEEDS - SANITARY NAPKINS/TAMPONS,30,374.7,PNS
21ST/C VT D  25MCG SG 250,74098527415,12.79,13.75,5.4,21ST CENTURY,VITAMINS,250,3437.5,PNS
BIOTENE ORAL BLNC GEL 1.5OZ,4858251201,,6.99,5.62,HALEON,ORAL CARE - ORAL HYGIENE,1.5,10.485,PNS
BIONIME GE100 LANCING DEVICE,88348900074,,3,1.5,BIONIME USA,DIABETIC PRODUCTS,1,3,PNS
AYR BABY SALINE SP/DRP 30ML,30225055050,,7.76,2.09,B.F. ASCHER,UPPER RESPIRATORY - NASAL PRODUCTS,30,232.8,PNS
HUGGIES S/CL WPE   64X3 FF SP,3600048756,,6.99,6.6,KIMBERLY-CLK,BABY DIAPERS,192,1342.08,PNS
ATTEND U/WR OVRNT MD 16,8667936594,,54.92,10.5,ATTINDAS HYG,ADULT INCONTINENCE,16,878.72,PNS
L'OR RVTLF DI GLYC CLNS 6.7OZ,7124941985,,14.99,7.8,LOREAL,SKIN CARE - FACIAL,6.7,100.433,PNS
EZY DOSE PILL REM  7 SIDE MD,2571567009,,2.19,1.16,APOTH PROD,HOME HEALTH CARE,1,2.19,PNS
BAN INV SOL 2.6OZ SWT SMPLC,1904501031,,6.89,2.27,KAO BRANDS,DEODORANTS,2.6,17.914,PNS
O SPICE RD B/W 24OZ CHMP,1204405212,6.99,7.99,5.34,PROCTER&GMBL,SOAP,24,191.76,PNS
IMODIUM A-D SGL 12,30045013712,,10.99,7.12,KENVUE,DIGESTIVE - LOWER GI,12,131.88,PNS
ALLEGRA-D 12HR TAB 30 PSE,4116743106,,31.99,21.35,SANOFI,UPPER RESPIRATORY - COLD/ALLERGY/SINUS TABLETS,30,959.7,PNS
EMERGEN-C GMY 45 OR/TG/RSP,7631460145,12.99,16.99,10.28,HALEON,"VITAMINS, MINERALS & SUPPLEMENTS",45,764.55,PNS
SECRET W/SLD 2.7OZ PWD,3700012451,,11.37,2.99,PROCTER&GMBL,DEODORANTS,2.7,30.699,PNS
BL LUMIFY RELIEF DRP 2.5ML AL,31011953750,,15.99,8.65,BAUSCH HLT,EYE CARE PRODUCTS,2.5,39.975,PNS
SENI BRIEF SUPER+ MD 25,87735300049,,33.74,17.55,TZMO USA,ADULT INCONTINENCE,25,843.5,PNS
N/B FISH OL 1000MG SGL 220 O,7431203925,,34.99,14.48,BOUNTIFUL CO,"VITAMINS, MINERALS & SUPPLEMENTS",200,6998,PNS
BEANO ENZYM TAB  30,4203710304,,5.99,3.85,MEDTECH PROD,DIGESTIVE - LOWER GI,30,179.7,PNS
GILLT SNSR2 D/RZR 12 FX LB,4740012602,,15.09,8.27,PROCTER&GMBL,SHAVE - RAZORS,12,181.08,PNS
NEXCARE OPTCLD EYEPTCH 20 JR,5113100022,14.25,15.31,5.18,3M CONSUMER,EYE CARE PRODUCTS,20,306.2,PNS
GOLD BOND N/MS FT PWD/SPR 7OZ,4116701728,,8.99,6.68,SANOFI,FOOT CARE PRODUCTS,7,62.93,PNS
NAT BLND BLK COHOSH CP 120,7985401213,13.42,15.43,5.9,NAT VIT CO,"VITAMINS, MINERALS & SUPPLEMENTS",120,1851.6,PNS
SECRET FRS GEL 2.6OZ CNT,3700050031,5.99,6.49,4.8,PROCTER&GMBL,DEODORANTS,2.6,16.874,PNS
THERABREATH FB RNS  3OZ I/M,69702904622,,3.49,1.82,CHURCH/DWIGH,ORAL CARE - MOUTHWASH,3,10.47,PNS
PNTN MST/RNW 2N1 12OZ,8087819555,4.99,5.49,4.31,PROCTER&GMBL,HAIR CARE - SHAMPOO/CONDITIONER,12,65.88,PNS
TYLNL 8HR ARTHRITS PN CP  24,30045083824,,6.49,3.75,KENVUE,PAIN - ANALGESIC (INTERNAL),24,155.76,PNS
DURACELL   21/23 12V AL BAT 4,4133365868,,14.49,3.33,DURACELL DST,ZZZBATTERIES,4,57.96,PNS
N/B KIDS MULTI GMY 180 PRNCESS,7646000014,,16.99,9.31,BOUNTIFUL CO,VITAMINS,180,3058.2,PNS
SCHF MV/FREE ADV MSM/D TB 80,2052511835,19.99,30.99,19.27,RECKITT,"VITAMINS, MINERALS & SUPPLEMENTS",80,2479.2,PNS
ATTEND U/WR OVRNT XL 12,8667936596,,17.52,10.5,ATTINDAS HYG,ADULT INCONTINENCE,12,210.24,PNS
ALWAYS RDT PD S3 XHVY W 30,3077207954,,12.49,9.8,PROCTER&GMBL,FEMININE NEEDS - SANITARY NAPKINS/TAMPONS,30,374.7,PNS
DOVE NR HD SNTZR 8OZ SHEA&VAN,1111102357,3.47,5.79,3.81,UNILEVER,SOAP,8,46.32,PNS
EZY DOSE MEDTM ORG 28-COMP EF,2571567706,,10.99,5.87,APOTH PROD,HOME HEALTH CARE,1,10.99,PNS
BIOFREEZE PN RLF SPRY 3OZ,73112400007,17.54,20.17,7.61,RECKITT,PAIN - ANALGESIC (EXTERNAL),3,60.51,PNS
BIONIME GE100 CONTROL SOLUTN,88348900072,,3,1.5,BIONIME USA,DIABETIC PRODUCTS,1,3,PNS
NEUT ACNE WSH 9.1OZ,7050101712,11.49,11.99,7.83,KENVUE,SKIN CARE - ACNE,10,119.9,PNS
STAYFREE U/THN PD SUP L W 32,7830007040,,6.99,6.39,EDGEWELL PC,FEMININE NEEDS - SANITARY NAPKINS/TAMPONS,32,223.68,PNS
NAT BLND CAL/MAG TB 100,7985450023,12.22,14.05,4.43,NAT VIT CO,"VITAMINS, MINERALS & SUPPLEMENTS",100,1405,PNS
